title,authors,year,source,paper,citations no.
"The structured clinical interview for DSM-III-R (SCID): I: history, rationale, and description","RL Spitzer, JBW Williams, M Gibbon…",1992,https://jamanetwork.com/journals/jamapsychiatry/article-abstract/495830,http://apsychoserver.psychofizz.psych.arizona.edu/JJBAReprints/PSYC621/694A/SCID/Spitzer%20et%20al%20(1992).pdf,5659
"The trouble with wilderness: or, getting back to the wrong nature",W Cronon,1996,https://www.journals.uchicago.edu/doi/pdf/10.2307/3985059,https://faculty.washington.edu/timbillo/Readings%20and%20documents/Wilderness/Cronon%20The%20trouble%20with%20Wilderness.pdf,5465
A Study of History: Volume I: Abridgement of Volumes I-VI,AJ Toynbee,1987,https://books.google.com/books?hl=en&lr=lang_en&id=FBh462QXBgoC&oi=fnd&pg=PA1&dq=history&ots=1-7tyXD-PR&sig=uAsAWxwcZ0CEPBL9-O9m6W-XOns,https://dspace.gipe.ac.in/xmlui/bitstream/handle/10973/26160/GIPE-013559.pdf?sequence=3,5280
Event history analysis: Regression for longitudinal event data,PD Allison,1984,https://books.google.com/books?hl=en&lr=lang_en&id=XkACeUEiEsUC&oi=fnd&pg=PA11&dq=history&ots=K5r3hvzLFr&sig=aHgHQTwCbvhukuARJV9gleabpA0,,5257
Human territoriality: its theory and history,RD Sack,1986,https://books.google.com/books?hl=en&lr=lang_en&id=NXk7AAAAIAAJ&oi=fnd&pg=PR11&dq=history&ots=Oy_v8FBvtL&sig=T0twTOtzh00LM73KTSt_gO9hmgw,,5180
A natural history of negation,L Horn,1989,https://philpapers.org/rec/HORANH,,5140
The task of the translator: An introduction to the translation of Baudelaire's Tableaux Parisiens,W Benjamin,2000,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315475615-16/walter-benjamin-task-translator-introduction-translation-baudelaire-tableaux-parisiens,,5076
A history of English law,WS Holdsworth,1926,,,5044
"A History of Greek Philosophy: Volume 2, The Presocratic Tradition from Parmenides to Democritus","WKC Guthrie, WKC Guthrie",1962,https://books.google.com/books?hl=en&lr=lang_en&id=__sIfvwqVWwC&oi=fnd&pg=PR13&dq=history&ots=AkXAaLXN4C&sig=y2bmyPPq0q944gfOlfMfESUJgEw,,4965
A history of archaeological thought,BG Trigger,1989,https://books.google.com/books?hl=en&lr=lang_en&id=SuoekuMtIIsC&oi=fnd&pg=PR10&dq=history&ots=lMpFA6fmjO&sig=eE8h5690_f5c4gqNJGBE9pUVJGw,,4927
From slavery to freedom; a history of American Negroes,JH Franklin,1966,https://agris.fao.org/agris-search/search.do?recordID=US201300600790,,4914
Implicit memory: History and current status.,DL Schacter,1987,https://psycnet.apa.org/doiLanding?doi=10.1037/0278-7393.13.3.501,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.461.701&rep=rep1&type=pdf,4908
Discovering the news: A social history of American newspapers,M Schudson,1981,,,4905
From psychological stress to the emotions: A history of changing outlooks,RS Lazarus,1993,https://www.annualreviews.org/doi/pdf/10.1146/annurev.ps.44.020193.000245,https://www.annualreviews.org/doi/pdf/10.1146/annurev.ps.44.020193.000245,4883
A history and theory of informed consent,"RR Faden, TL Beauchamp",1986,https://books.google.com/books?hl=en&lr=lang_en&id=jgi7OWxDT9cC&oi=fnd&pg=PA3&dq=history&ots=ZiKOW2RjO3&sig=4foFOc8a1MnQoNsfZgXjnUhY9sU,,4877
Desire and domestic fiction: A political history of the novel,N Armstrong,1987,https://books.google.com/books?hl=en&lr=lang_en&id=YSrRCwAAQBAJ&oi=fnd&pg=PT7&dq=history&ots=ttCClcA9PN&sig=HRdZIfZVC9sUthzcc8KERfplLYk,http://dcac.du.ac.in/documents/E-Resource/2020/Metrial/410MeenakshiSharma1.pdf,4759
Ferroelectric ceramics: history and technology,GH Haertling,1999,https://ceramics.onlinelibrary.wiley.com/doi/abs/10.1111/j.1151-2916.1999.tb01840.x,http://eng.sut.ac.th/ceramic/old/images_news/217.pdf,4516
Life-history tactics: a review of the ideas,SC Stearns,1976,https://www.journals.uchicago.edu/doi/abs/10.1086/409052,,4327
A social history of truth: Civility and science in seventeenth-century England,S Shapin,1995,https://books.google.com/books?hl=en&lr=lang_en&id=Cr4lEAAAQBAJ&oi=fnd&pg=PR9&dq=history&ots=_o8bTJxrAw&sig=wWkGBmK1eo5mKWDoJpanVGzypow,,4312
The frontier in American history,FJ Turner,1920,,https://ttu-ir.tdl.org/ttu-ir/bitstream/handle/2346/47091/ttu_hfwc01_000026.pdf?sequence=1,4298
Congress: A political-economic history of roll call voting,"KT Poole, H Rosenthal",2000,https://books.google.com/books?hl=en&lr=lang_en&id=x9vyGly7hLcC&oi=fnd&pg=PA3&dq=history&ots=m-7AGYVl4m&sig=lXfRetaXTXjlDd4BI3O2yKjS8Qw,https://www.eh.net/page/50/?s=a+,4292
Classification and natural history of clinically identifiable subtypes of cerebral infarction,"J Bamford, P Sandercock, M Dennis, C Warlow, J Burn",1991,https://www.sciencedirect.com/science/article/pii/014067369193206O,https://www.researchgate.net/profile/Gunnar-Steineck/publication/14554705_Psychological_complications_after_stillbirth_-_Influence_of_memories_and_immediate_management_Population_based_study/links/583ec78a08aeda696809cbe1/Psychological-complications-after-stillbirth-Influence-of-memories-and-immediate-management-Population-based-study.pdf,4234
Toward anAesthetic of Reception,HR Jauss,1984,https://journals.lib.unb.ca/index.php/IFR/article/download/13718/14800/18426,https://journals.lib.unb.ca/index.php/IFR/article/download/13718/14800/18426,4164
Media events: The live broadcasting of history,"D Dayan, E Katz",1992,https://books.google.com/books?hl=en&lr=lang_en&id=Z64eoZiik5wC&oi=fnd&pg=PR7&dq=history&ots=q2skJ4pby6&sig=89j6IiQSnR_jezEB74d-iD75YEE,http://academics.smcvt.edu/mjda/GLOBAL%20COM-CULTURE/MEDIA%20EVENTS/2018%20SPRING%20Media%20Events%20Katz%20-%20Dayan.pdf,4162
The presocratic philosophers: A critical history with a selection of texts,"GS Kirk, JE Raven, M Schofield",1983,https://books.google.com/books?hl=en&lr=lang_en&id=kFpd86J8PLsC&oi=fnd&pg=PR9&dq=history&ots=e2s-CwY_DM&sig=bfsj0uThN2KHQfGiyJjkLsbFgdo,http://forum.index.hu/Article/showArticle?na_order=&na_start=1082&na_step=30&t=9091980,4120
Nature's economy: a history of ecological ideas,D Worster,1994,https://books.google.com/books?hl=en&lr=lang_en&id=Sb02AAAAQBAJ&oi=fnd&pg=PA14&dq=history&ots=VSP1F5lACG&sig=x2uc-UKmb4S-SD0MIJXt5muquH4,,4115
A study of the natural history of back pain: Part 1: Development of a reliable and sensitive measure of disability in low-back pain.,"M Roland, R Morris",1983,https://psycnet.apa.org/record/2019-80329-001,,4052
The collected works of LS Vygotsky: Problems of the theory and history of psychology,LS Vygotsky,1987,https://books.google.com/books?hl=en&lr=lang_en&id=ZzjZMml-9ZgC&oi=fnd&pg=PA1&dq=history&ots=-CMG-Ci_RF&sig=ngHLG56lcMSeUgLnXrV5zBbcx2c,,4050
Commentaries on the Constitution of the United States: with a Preliminary Review of the Constitutional History of the Colonies and States Before the Adoption …,J Story,1873,https://books.google.com/books?hl=en&lr=lang_en&id=ZmcVBYLhbocC&oi=fnd&pg=PA1&dq=history&ots=W4LOrmtFs0&sig=dC99Rm-MAT6R8zKmLb2kTO67kdE,https://books.google.com/books?hl=en&lr=lang_en&id=ZmcVBYLhbocC&oi=fnd&pg=PA1&dq=history&ots=W4LOrmtFs0&sig=dC99Rm-MAT6R8zKmLb2kTO67kdE,4002
The natural history of congestive heart failure: the Framingham study,"PA McKee, WP Castelli, PM McNamara…",1971,https://www.nejm.org/doi/full/10.1056/NEJM197112232852601,,3989
"Generations: The history of America's future, 1584 to 2069","W Strauss, N Howe",1991,https://www.hemyers.com/sites/default/files/webform/pdf-generations-the-history-of-americas-future-1584-to-2069-william-strauss-neil-howe-pdf-download-free-book-5821c5b.pdf,https://www.hemyers.com/sites/default/files/webform/pdf-generations-the-history-of-americas-future-1584-to-2069-william-strauss-neil-howe-pdf-download-free-book-5821c5b.pdf,3972
An introduction to the structural analysis of narrative,"R Barthes, L Duisit",1975,https://www.jstor.org/stable/468419,http://www.davidbardschwarz.com/pdf/barthes.pdf,3969
The urbanization of capital: Studies in the history and theory of capitalist urbanization,D Harvey,1987,https://philarchive.org/archive/HARTUO-14,https://philarchive.org/archive/HARTUO-14,3947
"Production, power, and world order: Social forces in the making of history",RW Cox,1987,,,3902
"The primacy of perception: And other essays on phenomenological psychology, the philosophy of art, history, and politics",M Merleau-Ponty,1964,https://books.google.com/books?hl=en&lr=lang_en&id=CMk4mUpjdosC&oi=fnd&pg=PR9&dq=history&ots=dDeoNjnqk6&sig=vktPAQ9K_gDjx9prCgiLo0tVORI,,3902
Intimate matters: A history of sexuality in America,"J D'emilio, EB Freedman",1997,https://books.google.com/books?hl=en&lr=lang_en&id=VlGHUz8GfVsC&oi=fnd&pg=PR4&dq=history&ots=i41Q-xZNiu&sig=P4Vi12CaIcJwzKwmKUfQr2mnHdM,,3782
A history of the English language,"A Baugh, T Cable",1993,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203994634&type=googlepdf,,3774
The Codebreakers: The comprehensive history of secret communication from ancient times to the internet,D Kahn,1996,https://books.google.com/books?hl=en&lr=lang_en&id=3S8rhOEmDIIC&oi=fnd&pg=PT10&dq=history&ots=SB3gAsrcfs&sig=-xaKKCILRUdBzGdFtjrzT1kvV0c,https://gidemy.com/Downloads/Books/University%20and%20College%20Level/Computer%20Science/Cryptography/The-CodeBreakers-Kahn-David.pdf,3759
The greatest benefit to mankind: a medical history of humanity (the Norton history of science),R Porter,1999,,,3755
Natural history of liver fibrosis progression in patients with chronic hepatitis C,"T Poynard, P Bedossa, P Opolon",1997,https://www.sciencedirect.com/science/article/pii/S0140673696076428,,3742
"Size, function, and life history",WA Calder,1996,https://books.google.com/books?hl=en&lr=lang_en&id=-iBS6-2OO3wC&oi=fnd&pg=PR5&dq=history&ots=CSVYrrYGug&sig=YEtltvGHQqwqifGdjgHKnvb7niY,,3701
Meaning and Understanding in the History of Ideas,Q Skinner,1969,https://www.jstor.org/stable/2504188,http://sciencepoparis8.hautetfort.com/media/01/02/3027540341.pdf,3683
Oral tradition as history,JM Vansina,1985,https://books.google.com/books?hl=en&lr=lang_en&id=A-CVBVzZwmAC&oi=fnd&pg=PR5&dq=history&ots=CW6hdEx_6I&sig=0m5wlWmynRx62GcC8iMEHwXpTRI,,3671
"The history of sexuality: An introduction, volume I",M Foucault,1990,https://queertheories.uark.edu/files/2019/05/Outline_of_Michel_Foucault_The_History_o.pdf,https://queertheories.uark.edu/files/2019/05/Outline_of_Michel_Foucault_The_History_o.pdf,3661
"Interdisciplinarity: History, theory, and practice",JT Klein,1990,https://books.google.com/books?hl=en&lr=lang_en&id=4uM8fjxhjqsC&oi=fnd&pg=PA9&dq=history&ots=cmXpHnyIZm&sig=Vf5q__j-tSRO9016cY3W-xmnY7Q,https://www.academia.edu/download/650352/Janz__B._-_Review_of_Klein__Interdisciplinarity.pdf,3646
Between vengeance and forgiveness: Facing history after genocide and mass violence,M Minow,1999,,,3623
"The chalice and the blade: Our history, our future",R Eisler,1991,https://ixtheo.de/Record/1625619855,,3602
The history of statistics: The measurement of uncertainty before 1900,SM Stigler,1986,https://books.google.com/books?hl=en&lr=lang_en&id=M7yvkERHIIMC&oi=fnd&pg=PA1&dq=history&ots=Gmp1-kUA6q&sig=bYMl1FIcODvS1trvEyKxuqlAN-Q,http://www.med.mcgill.ca/epidemiology/hanley/bios601/GaussianModel/CombiningObservationsStiglerCh1.pdf,3597
The will to knowledge: The history of sexuality vol. I,M Foucault,1998,https://philarchive.org/rec/FOUTWT?all_versions=1,,3569
Natural history of cervicovaginal papillomavirus infection in young women,"GYF Ho, R Bierman, L Beardsley…",1998,https://www.nejm.org/doi/full/10.1056/nejm199802123380703,https://www.nejm.org/doi/full/10.1056/nejm199802123380703,3526
The history of the decline and fall of the Roman Empire,E Gibbon,1909,,http://ir.lucknowdigitallibrary.com:8080/xmlui/bitstream/handle/123456789/11572/3073.pdf?sequence=1&isAllowed=y,3523
"On heroes, hero-worship, and the heroic in history",T Carlyle,1993,https://www.degruyter.com/document/doi/10.1525/9780520911536/html,https://www.degruyter.com/document/doi/10.1525/9780520911536/pdf,3514
The totalitarian ego: Fabrication and revision of personal history.,AG Greenwald,1980,https://psycnet.apa.org/record/1980-24373-001,http://www2.psych.ubc.ca/~schaller/Psyc590Readings/Greenwald1980.pdf,3513
The writing of history,M De Certeau,1988,,,3507
Natural history of progression after PSA elevation following radical prostatectomy,"CR Pound, AW Partin, MA Eisenberger, DW Chan…",1999,https://jamanetwork.com/journals/jama/article-abstract/189741,https://jamanetwork.com/journals/jama/fullarticle/189741,3506
Explanation and understanding,GH Von Wright,1971,https://philpapers.org/rec/WRIEAU,,3444
"Sites of memory, sites of mourning: The Great War in European cultural history",J Winter,1998,https://books.google.com/books?hl=en&lr=lang_en&id=Ji9ib28vmTYC&oi=fnd&pg=PR6&dq=history&ots=QXjgrxRTHD&sig=QF43gq_KDc8e8JUP_AY86qdlim4,,3426
Young man Luther: A study in psychoanalysis and history,EH Erikson,1993,https://books.google.com/books?hl=en&lr=lang_en&id=sEAsI1rx6FUC&oi=fnd&pg=PP2&dq=history&ots=eHuWWuMIDf&sig=JrCYZ3G1ZHKSBHK2J2SbpnGisn8,http://www.math.chalmers.se/~ulfp/Review/youngluther.pdf,3420
"An essay on the history of civil society, 1767",A Ferguson,1980,https://books.google.com/books?hl=en&lr=lang_en&id=OKlaD5g-Dq0C&oi=fnd&pg=PR11&dq=history&ots=elC7xM_eJR&sig=s5wTp8VsyVrh9fIxfsC0-HIru94,https://www.sapili.org/subir-depois/en/gu008646.pdf,3397
The population history of England 1541-1871,"EA Wrigley, RS Schofield",1989,https://books.google.com/books?hl=en&lr=lang_en&id=pV9SZS4WpjkC&oi=fnd&pg=PA1&dq=history&ots=7P97avS_fN&sig=AUviUbehlYn08J8_hobzTdQJV9I,,3395
A History of Magic and Experimental Science: & 4. Fourteenth and fifteenth centuries,L Thorndike,1923,,,3314
The end of history for corporate law,"H Hansmann, R Kraakman",2000,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/glj89&section=20,https://openyls.law.yale.edu/bitstream/handle/20.500.13051/4602/89GeoLJ439.pdf?sequence=2&isAllowed=y,3294
The heritage crusade and the spoils of history,D Lowenthal,1998,https://books.google.com/books?hl=en&lr=lang_en&id=qbDb7UbYFh8C&oi=fnd&pg=PR9&dq=history&ots=znObMRX1fL&sig=73Qf4dZVRJlXb4FWK4yS7xQAgCo,,3253
Painting and experience in fifteenth century Italy: a primer in the social history of pictorial style,M Baxandall,1988,https://books.google.com/books?hl=en&lr=lang_en&id=dmpMcyeEX5EC&oi=fnd&pg=PA1&dq=history&ots=44jUTNMuAG&sig=lighz2epIUB7PjJh6DE1wuSMRhA,,3212
Social psychology as history.,KJ Gergen,1973,https://psycnet.apa.org/record/1973-31110-001,https://www.academia.edu/download/45515564/Social_Psychology_as_History.pdf,3126
The geographical pivot of history,HJ Mackinder,1904,,https://web.uniroma1.it/disp/sites/default/files/Mackinder_Geographical%2BPivot%2Bof%2BHistory.pdf,3102
The Rwanda crisis: History of a genocide,G Prunier,1997,,,3070
The natural history of chronic airflow obstruction.,"C Fletcher, R Peto",1977,https://www.bmj.com/content/1/6077/1645.short,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1607732/pdf/brmedj00468-0039.pdf,3059
Attitudes toward history: With a new afterword,K Burke,1984,https://books.google.com/books?hl=en&lr=lang_en&id=8aEwDwAAQBAJ&oi=fnd&pg=PA3&dq=history&ots=uA7H-3NF0o&sig=WNY86lY-cF57CUA6FkVmDsiSafg,,3010
The creative response in economic history,JA Schumpeter,1947,https://www.cambridge.org/core/journals/journal-of-economic-history/article/creative-response-in-economic-history/C657999B51A39841F82FBA14FA0CCF92,,2977
"An introduction to the history of medicine: with medical chronology, suggestions for study and bibliographic data",FH Garrison,1922,,,2968
Siam Mapped: A History of the Geo-body of a Nation,T Winichakul,1997,https://books.google.com/books?hl=en&lr=lang_en&id=TJEK4sHPlUsC&oi=fnd&pg=PR7&dq=history&ots=MH9WtZZYOA&sig=8A24nhe1UXwOj6rtmf1vHtaUus0,,2918
"Origins of the New South, 1877–1913: A history of the South",CV Woodward,1981,,,2914
Economic sanctions reconsidered: History and current policy,"GC Hufbauer, JJ Schott, KA Elliott",1990,https://books.google.com/books?hl=en&lr=lang_en&id=etyVmnPOrG8C&oi=fnd&pg=PR11&dq=history&ots=TgaBjnSaYN&sig=ogbRTqfrq3QZM2ZNgdjJGtJa7FQ,https://mideast-africa.tau.ac.il/sites/humanities.tau.ac.il/files/media_server/mideast_africa/%D7%9B%D7%9C%D7%9B%D7%9C%D7%94/%D7%9B%D7%9C%D7%9B%D7%9C%D7%9441.pdf,2910
The natural history of the systemic inflammatory response syndrome (SIRS): a prospective study,"MS Rangel-Frausto, D Pittet, M Costigan, T Hwang…",1995,https://jamanetwork.com/journals/jama/article-abstract/385772,,2891
High-redshift galaxies in the Hubble Deep Field: colour selection and star formation history to z ∼ 4,"P Madau, HC Ferguson, ME Dickinson…",1996,https://academic.oup.com/mnras/article-abstract/283/4/1388/1071226,https://academic.oup.com/mnras/article-pdf/283/4/1388/3704658/283-4-1388.pdf,2887
The abuse of casuistry: A history of moral reasoning,"AR Jonsen, S Toulmin, SE Toulmin",1988,https://books.google.com/books?hl=en&lr=lang_en&id=N1TiJgiWcqQC&oi=fnd&pg=PR7&dq=history&ots=Rdfv0f1f6I&sig=VT3uaMZZ6AjCXDDevG16rbY7XTQ,,2876
Internal versus external control of reinforcement: A case history of a variable.,JB Rotter,1990,https://psycnet.apa.org/doiLanding?doi=10.1037/0003-066X.45.4.489,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1049.4229&rep=rep1&type=pdf,2859
The history of English law: before the time of Edward I. 2,"F Pollock, FW Maitland",1968,https://books.google.com/books?hl=en&lr=lang_en&id=5oo5AAAAIAAJ&oi=fnd&pg=PR4&dq=history&ots=HQ-RTjn5CX&sig=MZNK1NJaBuFVHdtGKi90Csu5nkY,,2857
