title,authors,source,year,citations no.
Multi-digit recognition using a space displacement neural network,"O Matan, CJC Burges, YA LeCun, JS Denker",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:MLfJN-KU85MC,1993,228
Predicting Deeper into the Future of Semantic Segmentation,"P Luc, N Neverova, C Couprie, J Verbeek, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:g57m_4BFVZsC,2017,226
LeRec: A NN/HMM hybrid for on-line handwriting recognition,"Y Bengio, Y LeCun, C Nohl, C Burges",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:roLk4NBRz8UC,1995,224
Tracking the World State with Recurrent Entity Networks,"M Henaff, J Weston, A Szlam, A Bordes, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:CqsiOOvXZmUC,2016,224
An analog neural network processor with programmable topology,"BE Boser, E Sackinger, J Bromley, Y LeCun, LD Jackel",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:hkOj_22Ku90C,1991,223
Deep learning made easier by linear transformations in perceptrons,"T Raiko, H Valpola, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:DBa1UEJaJKAC,2012,212
Comparing SVM and convolutional networks for epileptic seizure prediction from intracranial EEG,"PW Mirowski, Y LeCun, D Madhavan, R Kuzniecky",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:isC4tDSrTZIC,2008,205
Boxlets: a fast convolution algorithm for signal processing and neural networks,"PY Simard, L Bottou, P Haffner, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:UHK10RUVsp4C,1999,197
Moving beyond feature design: Deep architectures and automatic feature learning in music informatics.,"EJ Humphrey, JP Bello, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:mKu_rENv82IC,2012,190
Application of the ANNA neural network chip to high-speed character recognition,"E Säckinger, BE Boser, JM Bromley, Y LeCun, LD Jackel",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:0EnyYjriUFMC,1992,189
Modeep: A deep learning framework using motion features for human pose estimation,"A Jain, J Tompson, Y LeCun, C Bregler",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:AOeXN74AWYwC,2014,188
Learning invariant feature hierarchies,Y LeCun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:WAzi4Gm8nLoC,2012,187
A learning scheme for asymmetric threshold networks,Y LeCun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:27qsyVibG6YC,1985,184
Eigenvalues of covariance matrices: Application to neural-network learning,"Y Le Cun, I Kanter, SA Solla",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:FiDNX6EVdGUC,1991,183
On‐line learning for very large data sets,"L Bottou, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:Fu2w8maKXqMC,2005,182
Transformation invariance in pattern recognition: Tangent distance and propagation,"PY Simard, YA Le Cun, JS Denker, B Victorri",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:ckcx6fjc-GEC,2000,171
UNSUPERVISED LEARNING OF SPARSE FEATURES FOR SCALABLE AUDIO CLASSIFICATION,"M Henaff, K Jarrett, K Kavukcuoglu, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:5ugPr518TE4C,2011,164
Loss functions for discriminative training of energy-based models,"Y LeCun, FJ Huang",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:_kc_bZDykSQC,2005,159
"Convolutional Networks for Images, Speech, and Time Series. The Hand Book of Brain Theory and Neural Networks","Y LeCun, Y Bengio",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:KjnAay3C9J8C,1995,156
Tunable efficient unitary neural networks (EUNN) and their application to RNNs,"L Jing, Y Shen, T Dubček, J Peurifoy, S Skirlo, Y LeCun, M Tegmark, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:TLwS_1sUIYkC,2016,153
Understanding Deep Architectures using a Recursive Convolutional Network,"D Eigen, J Rolfe, R Fergus, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:4PzMk9GH2tkC,2014,153
Feature learning and deep architectures: New directions for music informatics,"EJ Humphrey, JP Bello, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:ghEM2AJqZyQC,2013,152
"Globally trained handwritten word recognizer using spatial representation, convolutional neural networks, and hidden Markov models","Y Bengio, Y LeCun, D Henderson",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:X9ykpCP0fEIC,1993,146
Solla,"Y Le Cun, JS Denker, A Sara",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:rzkGdFpNPO0C,1990,142
Automatic learning rate maximization by on-line estimation of the Hessian’s eigenvectors,"Y LeCun, PY Simard, B Pearlmutter",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:4TOpqqG69KYC,1993,140
Automatic recognition of biological particles in microscopic images,"M Ranzato, PE Taylor, JM House, RC Flagan, Y LeCun, P Perona",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:9ZlFYXVOiuMC,2007,139
Image and video coding-emerging standards and beyond,"BG Haskell, PG Howard, YA LeCun, A Puri, J Ostermann, MR Civanlar, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:UebtZRa9Y70C,1998,137
Method for sending multi-media messages using emoticons,"J Ostermann, MR Civanlar, E Cosatto, HP Graf, YA LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:qUcmZB5y_30C,2006,135
Orthogonal RNNs and Long-Memory Tasks,"M Henaff, A Szlam, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:Xt3t5HrhCpYC,2016,135
Hierarchical constrained automatic learning neural network for character recognition,"JS Denker, RE Howard, LD Jackel, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:hqOjcs7Dif8C,1991,134
A unified energy-based framework for unsupervised learning,"MA Ranzato, YL Boureau, S Chopra, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:SIv7DqKytYAC,2007,134
Unsupervised learning of spatiotemporally coherent metrics,"R Goroshin, J Bruna, J Tompson, D Eigen, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:DXM8KF1schAC,2015,134
Second order properties of error surfaces: Learning time and generalization,"Y LeCun, I Kanter, S Solla",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:w1MjKQ0l0TYC,1990,133
Global training of document processing systems using graph transformer networks,"L Bottou, Y Bengio, Y Le Cun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:ZfRJV9d4-WMC,1997,133
NeuFlow: Dataflow vision processing system-on-a-chip,"PH Pham, D Jelaca, C Farabet, B Martini, Y LeCun, E Culurciello",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:PyEswDtIyv0C,2012,127
Deep learning tutorial,"Y LeCun, M Ranzato",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:yWe6nybXSkwC,2013,127
Large-scale FPGA-based convolutional networks,"C Farabet, Y LeCun, K Kavukcuoglu, E Culurciello, B Martini, P Akselrod, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:sSrBHYA8nusC,2011,123
Deep learning for AI,"Y Bengio, Y Lecun, G Hinton",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:yM8WYnMLviIC,2021,121
The mnist database of handwritten digits,"L Yann, C Corinna, J Christopher",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:S1WaUgt8gYIC,1998,120
Deep belief net learning in a long-range vision system for autonomous off-road driving,"R Hadsell, A Erkan, P Sermanet, M Scoffier, U Muller, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:e5wmG9Sq2KIC,2008,118
Learning to linearize under uncertainty,"R Goroshin, MF Mathieu, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:goOyc-W9OFwC,2015,117
"Overfeat: Integrated recognition, localization and detection using convolutional networks. arXiv 2013","P Sermanet, D Eigen, X Zhang, M Mathieu, R Fergus, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:5aszrCQfcYQC,n/a,116
Method for sending multi-media messages using customizable background images,"J Ostermann, B Buda, MR Civanlar, E Cosatto, HP Graf, TM Isaacson, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:4JMBOYKVnBMC,2006,110
A theoretical analysis of feature pooling in vision algorithms,"Y Boureau, J Ponce, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:t1niNHmIXQYC,2010,109
Reading checks with multilayer graph transformer networks,"Y LeCun, L Bottou, Y Bengio",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:tzM49s52ZIMC,1997,107
Open problem: The landscape of the loss surfaces of multilayer networks,"A Choromanska, Y LeCun, GB Arous",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:QjNCP7ux8QYC,2015,104
Statistical machine learning and dissolved gas analysis: a review,"P Mirowski, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:ziOE8S1-AIUC,2012,102
On the applications of multimedia processing to communications,"RV Cox, BG Haskell, Y LeCun, B Shahraray, L Rabiner",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:MXK_kJrjxJIC,1998,100
"Deep Learning Hardware: Past, Present, and Future",Y LeCun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:EbDKHhGulSgC,2019,94
Word-level training of a handwritten word recognizer based on convolutional neural networks,"Y LeCun, Y Bengio",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:35r97b3x0nAC,1994,92
Method and apparatus for extracting a foreground image and a background image from a color document image,"L Bottou, YA LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:Zph67rFs4hoC,1999,90
Signal Recovery from Lp Pooling Representations,"J Bruna, A Szlam, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:IyMil-iDmu0C,2014,90
DjVu: Analyzing and compressing scanned documents for internet distribution,"P Haffner, L Bottou, PG Howard, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:M3ejUd6NZC8C,1999,88
Comparing different neural network architectures for classifying handwritten digits,"I Guyon, I Poujaud, L Personnaz, G Dreyfus, J Denker, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:uLbwQdceFCQC,1989,87
3rd International Conference on Learning Representations,"DP Kingma, J Ba, Y Bengio, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:pIp0rujYkN4C,2015,87
Efficient learning and second order methods,Y LeCun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:7T2F9Uy0os0C,1993,85
Model-Predictive Policy Learning with Uncertainty Regularization for Driving in Dense Traffic,"M Henaff, A Canziani, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:3_iODIlCio4C,2019,84
Comparing Dynamics: Deep Neural Networks versus Glassy Systems,"M Baity-Jesi, L Sagun, M Geiger, S Spigler, GB Arous, C Cammarota, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:He_SdS2HmmMC,2018,83
The MNIST database of handwritten digits; 2009,"Y LeCun, C Cortes, CJC Burges",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:KIMFRoSX18MC,2009,83
"The handbook of brain theory and neural networks. chapter Convolutional Networks for Images, Speech, and Time Series","Y LeCun, Y Bengio",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:ZHR7-34Bl2wC,1998,83
Discriminative Recurrent Sparse Auto-Encoders,"JT Rolfe, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:wvYxNZNCP7wC,2013,80
Emergence of complex-like cells in a temporal product network with local receptive fields,"K Gregor, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:abG-DnoFyZgC,2010,78
Bengio Y,"Y LeCun, P Haffner, L Bottou",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:RGp4dj-Wy-oC,2015,78
An fpga-based stream processor for embedded real-time vision with convolutional networks,"C Farabet, C Poulet, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:3s1wT3WcHBgC,2009,76
MDETR-modulated detection for end-to-end multi-modal understanding,"A Kamath, M Singh, Y LeCun, G Synnaeve, I Misra, N Carion",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:lIaPce-xyHYC,2021,76
"Shape, contour and grouping in computer vision","Y LeCun, P Haffner, L Bottou, Y Bengio",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:sq_mVe84DbIC,1999,74
Runtime reconfigurable dataflow processor with multi-port memory access module,"C Farabet, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:DkZNVXde3BIC,2018,73
Predicting Future Instance Segmentations by Forecasting Convolutional Features,"P Luc, C Couprie, Y Lecun, J Verbeek",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:UmJFWc0aipQC,2018,70
Comparison between frame-constrained fix-pixel-value and frame-free spiking-dynamic-pixel convnets for visual processing,"C Farabet, R Paz, J Pérez-Carrasco, C Zamarreño, A Linares-Barranco, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:jFemdcug13IC,2012,69
Constrained neural networks for unicon-strained handwritten digit recognition,Y LE CUN,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:NJ774b8OgUMC,1990,68
Reading handwritten digits: A ZIP code recognition system,"O Matan, HS Baird, J Bromley, CJC Burges, JS Denker, LD Jackel, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:tKAzc9rXhukC,1992,68
A Mathematical Motivation for Complex-Valued Convolutional Networks,"M Tygert, J Bruna, S Chintala, Y LeCun, S Piantino, A Szlam",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:P6jpBLdrFncC,2016,67
Connectionism in perspective,"Y LeCun, R Pfeifer, Z Schreter, F Fogelman, L Steels",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:4IpgxnMJogoC,1989,67
Vicreg: Variance-invariance-covariance regularization for self-supervised learning,"A Bardes, J Ponce, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:_r6PDwDh8pAC,2021,66
Regularized estimation of image statistics by score matching,"DP Kingma, Y Cun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:HoB7MX3m0LUC,2010,66
Semantic road segmentation via multi-scale ensembles of learned features,"JM Alvarez, Y LeCun, T Gevers, AM Lopez",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:kF1pexMAQbMC,2012,66
Time delay neural network for printed and cursive handwritten character recognition,"I Guyon, JS Denker, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:YOwf2qJgpHMC,1992,62
Word normalization for online handwritten word recognition,"Y Bengio, Y Le Cun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:kzcrU_BdoSEC,1994,62
Design: Design inspiration from generative networks,"O Sbai, M Elhoseiny, A Bordes, Y LeCun, C Couprie",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:RiW20FJDrgsC,2018,62
Double backpropagation increasing generalization performance,"H Drucker, Y Le Cun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:t7zJ5fGR-2UC,1991,61
Dynamic factor graphs for time series modeling,"P Mirowski, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:ldfaerwXgEUC,2009,61
Online learning for offroad robots: Using spatial label propagation to learn long-range traversability,"R Hadsell, P Sermanet, J Ben, A Erkan, J Han, B Flepp, U Muller, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:HDshCWvjkbEC,2007,60
"Deep learning. nature, 521 (7553), 436-444","Y LeCun, Y Bengio, G Hinton",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:tCoNjB6AT50C,2015,60
Automata networks and artificial intelligence,"FF Soulié, P Gallinari, Y Le Cun, S Thiria",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:9u2w3wkYHSMC,1987,59
Generalization and network design strategies. Connectionism in perspective,Y LeCun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:aGxtzYPGyQEC,1989,58
System and method for biometric authentication in connection with camera equipped devices,"Y LeCun, A Perold, Y Wang, S Waghmare",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:Ncwx4PHgTB8C,2014,57
Explorations on high dimensional landscapes,"L Sagun, VU Guney, GB Arous, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:sCWLdL-sCz8C,2014,57
Shortest path segmentation: A method for training a neural network to recognize character strings,"CJC Burges, O Matan, Y LeCun, JS Denker, LD Jackel, CE Stenard, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:_Ybze24A_UAC,1992,56
Convolutional matching pursuit and dictionary training,"A Szlam, K Kavukcuoglu, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:LPZeul_q3PIC,2010,56
The mind of a mouse,"LF Abbott, DD Bock, EM Callaway, W Denk, C Dulac, AL Fairhall, I Fiete, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:m5Mwo8ouzesC,2020,55
Modeles connexionnistes de l’apprentissage (connectionist learning models),Y LeCun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:CrVLTnlDqZQC,1987,55
Adversarially regularized autoencoders for generating discrete structures,"Y Kim, K Zhang, AM Rush, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:9xDRhSErrBIC,2017,54
Saturating Auto-Encoder,"R Goroshin, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:DrR-2ekChdkC,2013,54
Hardware requirements for neural network pattern classifiers: a case study and implementation,"BE Boser, E Sackinger, J Bromley, Y LeCun, RE Howard, LD Jackel",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:J-pR_7NvFogC,1992,53
Quand la machine apprend: la révolution des neurones artificiels et de l'apprentissage profond,Y Le Cun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:rEjdzzKT7SMC,2019,53
Off line recognition of handwritten postal words using neural networks,"CJC Burges, JI Ben, JS Denker, Y LeCun, CR Nohl",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=200&pagesize=100&citation_for_view=WLN3QrAAAAAJ:4DMP91E08xMC,1993,52
A multirange architecture for collision‐free off‐road robot navigation,"P Sermanet, R Hadsell, M Scoffier, M Grimes, J Ben, A Erkan, C Crudele, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=200&pagesize=100&citation_for_view=WLN3QrAAAAAJ:TFP_iSt0sucC,2009,52
"LeNet-5, convolutional neural networks (2015)","Y LeCun, L Bottou, Y Bengio, P Haffner",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=200&pagesize=100&citation_for_view=WLN3QrAAAAAJ:vptNTMqK6uYC,2016,52
