title,case,year,source,citations no.
MATTER OF WARRANT SEARCH CERTAIN E-MAIL,"829 F. 3d 197 - Court of Appeals, 2nd Circuit",2016,https://scholar.google.com/scholar_case?case=13435051576607435520&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,320
"Attias v. Carefirst, Inc.","865 F. 3d 620 - Court of Appeals, Dist. of Columbia Circuit",2017,https://scholar.google.com/scholar_case?case=17374636937188622312&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,297
Lanning v. City of Glens Falls,"908 F. 3d 19 - Court of Appeals, 2nd Circuit",2018,https://scholar.google.com/scholar_case?case=1654322881483024789&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,290
Google Inc. v. Equustek Solutions Inc.,"2017 SCC 34, 2017 SCR 1 824 ",2017,,290
In re Nickelodeon Consumer Privacy Litigation,"827 F. 3d 262 - Court of Appeals, 3rd Circuit",2016,https://scholar.google.com/scholar_case?case=4905662869430048565&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,281
US v. Ulbricht,"858 F. 3d 71 - Court of Appeals, 2nd Circuit",2017,https://scholar.google.com/scholar_case?case=7379835016583659897&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,277
Harris v. Miller,"818 F. 3d 49 - Court of Appeals, 2nd Circuit",2016,https://scholar.google.com/scholar_case?case=1450484693925451180&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,263
US v. Microsoft Corp.,"138 S. Ct. 1186, 584 US __, 200 L. Ed. 2d 610 - Supreme Court",2018,https://scholar.google.com/scholar_case?case=12948882296916799465&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,254
People v. Appleton,"245 Cal. App. 4th 717, 199 Cal. Rptr. 3d… - Cal: Court of Appeal, 6th…",2016,https://scholar.google.com/scholar_case?case=8402032338462010630&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,242
"Lewert v. PF Chang's China Bistro, Inc.","819 F. 3d 963 - Court of Appeals, 7th Circuit",2016,https://scholar.google.com/scholar_case?case=3420493494839098592&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,237
"Facebook, Inc. v. Power Ventures, Inc.","844 F. 3d 1058 - Court of Appeals, 9th Circuit",2016,https://scholar.google.com/scholar_case?case=15088098698953309455&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,224
"Wollschlaeger v. Governor, Florida","848 F. 3d 1293 - Court of Appeals, 11th Circuit",2017,https://scholar.google.com/scholar_case?case=7670535306273106781&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,222
PJS v. News Group Newspapers Ltd,"2016 UKSC 26 ",2016,,219
"Syed v. MI, LLC","853 F. 3d 492 - Court of Appeals, 9th Circuit",2017,https://scholar.google.com/scholar_case?case=17868939379664735158&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,215
Bernstein v. Bernstein Litowitz Berger & Grossmann,"814 F. 3d 132 - Court of Appeals, 2nd Circuit",2016,https://scholar.google.com/scholar_case?case=5337651057816630886&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,204
In re PO,"246 Cal. App. 4th 288, 200 Cal. Rptr. 3d… - Cal: Court of Appeal, 1st…",2016,https://scholar.google.com/scholar_case?case=642533664934604077&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,202
