title,case,year,source,citations no.
Doe v. Cooper,"842 F. 3d 833 - Court of Appeals, 4th Circuit",2016,https://scholar.google.com/scholar_case?case=18027808879572214449&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,47
Cameranesi v. US Dept. of Defense,"856 F. 3d 626 - Court of Appeals, 9th Circuit",2017,https://scholar.google.com/scholar_case?case=4085176506749709276&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,46
Singer v. City of Newton,"284 F. Supp. 3d 125 - Dist. Court, D. Massachusetts",2017,https://scholar.google.com/scholar_case?case=7213100011129767991&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,46
US v. Vasquez-Algarin,"821 F. 3d 467 - Court of Appeals, 3rd Circuit",2016,https://scholar.google.com/scholar_case?case=17710474885831926084&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,46
US v. Riley,"858 F. 3d 1012 - Court of Appeals, 6th Circuit",2017,https://scholar.google.com/scholar_case?case=11458503769279209022&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,45
"Stoops v. Wells Fargo Bank, NA","197 F. Supp. 3d 782 - Dist. Court, WD Pennsylvania",2016,https://scholar.google.com/scholar_case?case=8325476149981581094&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,45
Heglund v. Aitkin County,"871 F. 3d 572 - Court of Appeals, 8th Circuit",2017,https://scholar.google.com/scholar_case?case=15572688747223156213&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,45
State v. Blue,"783 SE 2d 524, 246 NC App. 259 - NC: Court of Appeals",2016,https://scholar.google.com/scholar_case?case=13838156991587897073&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,45
MATTER OF SEARCH WARRANT APPLICATION,"279 F. Supp. 3d 800 - Dist. Court, ND Illinois",2017,https://scholar.google.com/scholar_case?case=4434697422769596659&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,45
"Mejia v. Time Warner Cable, Inc.","2017 WL 3278926 ",2017,,45
Americans for Prosperity Foundation v. Becerra,"903 F. 3d 1000 - Court of Appeals, 9th Circuit",2018,https://scholar.google.com/scholar_case?case=8762889927343859770&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,45
US v. Allen,"813 F. 3d 76 - Court of Appeals, 2nd Circuit",2016,https://scholar.google.com/scholar_case?case=5409863237324429856&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,45
State v. Peoples,"378 P. 3d 421, 240 Ariz. 245 - Ariz: Supreme Court",2016,https://scholar.google.com/scholar_case?case=3961702368992974652&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,44
"Fero v. Excellus Health Plain, Inc.","236 F. Supp. 3d 735 - Dist. Court, WD New York",2017,https://scholar.google.com/scholar_case?case=5304586491614397810&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,44
Parents for Privacy v. DALLAS SCHOOL DIST. NO. 2,"326 F. Supp. 3d 1075 - Dist. Court, D. Oregon",2018,https://scholar.google.com/scholar_case?case=8259066254644101990&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,43
JB v. NJ State Parole Bd.,"159 A. 3d 1267, 229 NJ 21 - NJ: Supreme Court",2017,https://scholar.google.com/scholar_case?case=1536209923696110213&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,43
In re Facebook Internet Tracking Litigation,"263 F. Supp. 3d 836 - Dist. Court, ND California",2017,https://scholar.google.com/scholar_case?case=3189216449136124325&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,43
US v. Zodhiates,"901 F. 3d 137 - Court of Appeals, 2nd Circuit",2018,https://scholar.google.com/scholar_case?case=17854605785282474827&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,43
OWNER-OPERATOR INDEP. DRIVERS v. US DOT,"879 F. 3d 339 - Court of Appeals, Dist. of Columbia Circuit",2018,https://scholar.google.com/scholar_case?case=7605054097067161526&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,43
Couzens v. Donohue,"854 F. 3d 508 - Court of Appeals, 8th Circuit",2017,https://scholar.google.com/scholar_case?case=2722931360422136061&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,43
Gainesville Woman Care v. State,210 So. 3d 1243 - Fla: Supreme Court,2017,https://scholar.google.com/scholar_case?case=1823230156788888669&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,42
Students & Parents for Privacy v. US Dep't of Educ.,"2016 WL 6134121 ",2016,,42
US v. Hopkins,"824 F. 3d 726 - Court of Appeals, 8th Circuit",2016,https://scholar.google.com/scholar_case?case=12183213820051867442&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,42
Lohan v. TAKE-TWO SOFTWARE,"31 NY 3d 111, 97 NE 3d 389, 73 NYS 3d 780 - NY: Court of Appeals",2018,https://scholar.google.com/scholar_case?case=4288666478970110156&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,42
People v. Sharpe,"918 NW 2d 504, 502 Mich. 313 - Mich: Supreme Court",2018,https://scholar.google.com/scholar_case?case=5596400535539749945&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,42
State v. Kisack,236 So. 3d 1201 - La: Supreme Court,2017,https://scholar.google.com/scholar_case?case=16390370382461373848&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,41
US v. Mosley,"878 F. 3d 246 - Court of Appeals, 8th Circuit",2017,https://scholar.google.com/scholar_case?case=13533613907876611180&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,41
Love v. State Dept. of Education,"29 Cal. App. 5th 980, 240 Cal. Rptr. 3d… - Cal: Court of Appeal, 3rd…",2018,https://scholar.google.com/scholar_case?case=4583379197235309489&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,41
US v. Contreras,"820 F. 3d 255 - Court of Appeals, 7th Circuit",2016,https://scholar.google.com/scholar_case?case=981624041547967712&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,41
Preterm-Cleveland v. Himes,"294 F. Supp. 3d 746 - Dist. Court, SD Ohio",2018,https://scholar.google.com/scholar_case?case=14073089849369935771&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,41
State v. Havatone,"389 P. 3d 1251, 241 Ariz. 506 - Ariz: Supreme Court",2017,https://scholar.google.com/scholar_case?case=10972062493464138685&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,41
Blomstrom v. Tripp,"402 P. 3d 831, 189 Wash. 2d 379 - Wash: Supreme Court",2017,https://scholar.google.com/scholar_case?case=1349455220082041538&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,40
Epstein v. Epstein,"843 F. 3d 1147 - Court of Appeals, 7th Circuit",2016,https://scholar.google.com/scholar_case?case=1444174825087370736&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,40
"Santana v. Take-Two Interactive Software, Inc.","717 F. App'x 12, 717 Fed. Appx. 12 ",2017,,40
United States v. Torres,"2016 WL 4821223 ",2016,,40
People v. Garcia,"365 P. 3d 928, 62 Cal. 4th 1116, 199 Cal. Rptr… - Cal: Supreme…",2016,https://scholar.google.com/scholar_case?case=17932397132010735452&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,39
Franchise Tax Bd. of State of CA v. Hyatt,"407 P. 3d 717, 133 Nev. Adv. Op. 102, 133 Nev… - Nev: Supreme…",2017,https://scholar.google.com/scholar_case?case=8147710383393153179&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,39
US v. Easley,"911 F. 3d 1074 - Court of Appeals, 10th Circuit",2018,https://scholar.google.com/scholar_case?case=10962617800946138064&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,39
Jaynes v. Mitchell,"824 F. 3d 187 - Court of Appeals, 1st Circuit",2016,https://scholar.google.com/scholar_case?case=674127049685701817&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,39
Smith v. Datla,"164 A. 3d 1110, 451 NJ Super. 82 - NJ: Appellate Div.",2017,https://scholar.google.com/scholar_case?case=17956281165379744743&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,39
US v. Lyles,"910 F. 3d 787 - Court of Appeals, 4th Circuit",2018,https://scholar.google.com/scholar_case?case=14601264896635500017&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,39
Wheeler v. State,135 A. 3d 282 - Del: Supreme Court,2016,https://scholar.google.com/scholar_case?case=4644661733503294335&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,39
"Planned Parenthood v. COM'R, INDIANA STATE","265 F. Supp. 3d 859 - Dist. Court, SD Indiana",2017,https://scholar.google.com/scholar_case?case=10892081705924951993&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,39
State v. Coffman,914 NW 2d 240 - Iowa: Supreme Court,2018,https://scholar.google.com/scholar_case?case=8099672490796900925&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,39
US v. Caraballo,"831 F. 3d 95 - Court of Appeals, 2nd Circuit",2016,https://scholar.google.com/scholar_case?case=11699705986920572311&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,38
Watkins v. Arpaio,"367 P. 3d 72, 239 Ariz. 168 - Ariz: Court of Appeals, 1st Div.",2016,https://scholar.google.com/scholar_case?case=14363342857985943057&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,38
Rosenbach v. Six Flags Entertainment Corp.,"147 NE 3d 125, 2017 IL App (2d) 170317… - Ill: Appellate Court…",2017,https://scholar.google.com/scholar_case?case=17359175234184500126&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,38
State v. Adair,"383 P. 3d 1132, 241 Ariz. 58 - Ariz: Supreme Court",2016,https://scholar.google.com/scholar_case?case=847396137062020094&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,38
US v. Anzalone,"208 F. Supp. 3d 358 - Dist. Court, D. Massachusetts",2016,https://scholar.google.com/scholar_case?case=5470787539783610192&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,38
US v. Iverson,"897 F. 3d 450 - Court of Appeals, 2nd Circuit",2018,https://scholar.google.com/scholar_case?case=12340816193541109809&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,38
"Daniels v. FanDuel, Inc.",109 NE 3d 390 - Ind: Supreme Court,2018,https://scholar.google.com/scholar_case?case=14354103895308712056&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,38
"Patriotic Veterans, Inc. v. Zoeller","845 F. 3d 303 - Court of Appeals, 7th Circuit",2017,https://scholar.google.com/scholar_case?case=18017999148197410289&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,37
US v. Crumble,"878 F. 3d 656 - Court of Appeals, 8th Circuit",2018,https://scholar.google.com/scholar_case?case=10437706573089493812&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,37
US v. Caballero,"178 F. Supp. 3d 1008 - Dist. Court, SD California",2016,https://scholar.google.com/scholar_case?case=1221943456894464398&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,37
United States v. Westley,"2018 WL 3448161 ",2018,,37
Smith v. Ohio State Univ.,"2016 WL 3182675, 191 F. Supp. 3d 750 ",2016,,37
FTC v. AT&T MOBILITY LLC,"883 F. 3d 848 - Court of Appeals, 9th Circuit",2018,https://scholar.google.com/scholar_case?case=10159833958648077158&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,37
R v. Reeves,"2018 SCC 56 ",2018,,37
Ioane v. Hodges,"939 F. 3d 945 - Court of Appeals, 9th Circuit",2018,https://scholar.google.com/scholar_case?case=17711154065071998795&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,37
US v. Croghan,"209 F. Supp. 3d 1080 - Dist. Court, SD Iowa",2016,https://scholar.google.com/scholar_case?case=7947947978939549691&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,37
Arroyo Gonzalez v. Rossello Nevares,"305 F. Supp. 3d 327 ",2018,,37
Lewis v. Superior Court,"397 P. 3d 1011, 3 Cal. 5th 561, 220 Cal. Rptr… - Cal: Supreme…",2017,https://scholar.google.com/scholar_case?case=15552491016527129747&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,36
US v. Lambus,"897 F. 3d 368 - Court of Appeals, 2nd Circuit",2018,https://scholar.google.com/scholar_case?case=4995152814216375262&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,36
US v. Almonte-Báez,"857 F. 3d 27 - Court of Appeals, 1st Circuit",2017,https://scholar.google.com/scholar_case?case=16858500091652325887&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,36
People v. Sandee,"15 Cal. App. 5th 294, 222 Cal. Rptr. 3d… - Cal: Court of Appeal, 4th…",2017,https://scholar.google.com/scholar_case?case=9725897461879309081&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,36
State v. Bryant,"148 A. 3d 398, 227 NJ 60 - NJ: Supreme Court",2016,https://scholar.google.com/scholar_case?case=4091537628843585097&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,36
Carpenter v. United States,"2017 WL 3530959 ",2017,,36
US v. De L'Isle,"825 F. 3d 426 - Court of Appeals, 8th Circuit",2016,https://scholar.google.com/scholar_case?case=9367862597220917553&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,35
Leiser v. Moore,"903 F. 3d 1137 - Court of Appeals, 10th Circuit",2018,https://scholar.google.com/scholar_case?case=6625168479946574097&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,35
State v. Betancourth,"413 P. 3d 566, 190 Wash. 2d 357 - Wash: Supreme Court",2018,https://scholar.google.com/scholar_case?case=14591616741669851553&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,35
Perez v. City of Roseville,"882 F. 3d 843 - Court of Appeals, 9th Circuit",2018,https://scholar.google.com/scholar_case?case=14870778405677605896&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,35
State v. Bursch,905 NW 2d 884 - Minn: Court of Appeals,2017,https://scholar.google.com/scholar_case?case=5854319289618578968&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,35
State v. Fawcett,884 NW 2d 380 - Minn: Supreme Court,2016,https://scholar.google.com/scholar_case?case=2160959275403263170&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,35
"Latner v. Mount Sinai Health System, Inc.","879 F. 3d 52 - Court of Appeals, 2nd Circuit",2018,https://scholar.google.com/scholar_case?case=2933924503550077546&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,35
"Facebook, Inc. v. Superior Court","417 P. 3d 725, 4 Cal. 5th 1245, 233 Cal. Rptr… - Cal: Supreme…",2018,https://scholar.google.com/scholar_case?case=4819868744640957510&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,35
State v. Sylvestre,"254 So. 3d 986 - Fla: Dist. Court of Appeals, 4th Dist.",2018,https://scholar.google.com/scholar_case?case=14800414798215486700&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,35
R v. Saeed,"2016 SCC 24 ",2016,,35
Seo v. State,109 NE 3d 418 - Ind: Court of Appeals,2018,https://scholar.google.com/scholar_case?case=11532629400226160762&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,35
Electronic Privacy Information Center v. IRS,"910 F. 3d 1232 - Court of Appeals, Dist. of Columbia Circuit",2018,https://scholar.google.com/scholar_case?case=7726024382746890863&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,34
State v. Newcomb,"375 P. 3d 434, 359 Or. 756 - Or: Supreme Court",2016,https://scholar.google.com/scholar_case?case=14016924278937736258&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,34
State v. Huse,491 SW 3d 833 - Tex: Court of Criminal Appeals,2016,https://scholar.google.com/scholar_case?case=10899787829706259548&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,34
US v. Turner,"839 F. 3d 429 - Court of Appeals, 5th Circuit",2016,https://scholar.google.com/scholar_case?case=13477511836744307301&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,34
"Opperman v. Path, Inc.","205 F. Supp. 3d 1064 - Dist. Court, ND California",2016,https://scholar.google.com/scholar_case?case=2479199569072811290&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,34
Dixon v. Washington & Jane Smith Cmty.-Beverly,"2018 WL 2445292 ",2018,,34
"Thomas v. FTS USA, LLC","2016 WL 3653878 ",2016,,34
State v. Greene,"806 SE 2d 343, 255 NC App. 780 - NC: Court of Appeals",2017,https://scholar.google.com/scholar_case?case=14995480491737749963&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,34
US v. Zadeh,"820 F. 3d 746 - Court of Appeals, 5th Circuit",2016,https://scholar.google.com/scholar_case?case=17420028884937110980&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,34
"Rivera v. Google, Inc.","366 F. Supp. 3d 998 - Dist. Court, ND Illinois",2018,https://scholar.google.com/scholar_case?case=8011976530277667978&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,34
ASSOCIATED BUILDERS AND CONT. OF TEXAS v. NLRB,"826 F. 3d 215 - Court of Appeals, 5th Circuit",2016,https://scholar.google.com/scholar_case?case=11484391570929175294&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,34
State v. Culver,"918 NW 2d 103, 384 Wis. 2d 222, 2018 WI… - Wis: Court of…",2018,https://scholar.google.com/scholar_case?case=6421913650264605754&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,34
IN RE PREMERA BLUE CROSS CUSTOMER DATA SECURITY,"198 F. Supp. 3d 1183 - Dist. Court, D. Oregon",2016,https://scholar.google.com/scholar_case?case=8385381794967037468&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,34
ELECTRONIC PRIVACY v. FEDERAL AVIATION,"821 F. 3d 39 - Court of Appeals, Dist. of Columbia Circuit",2016,https://scholar.google.com/scholar_case?case=14554140061299426590&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,33
State v. Dumstrey,"873 NW 2d 502, 366 Wis. 2d 64, 2016 WI 3 - Wis: Supreme Court",2016,https://scholar.google.com/scholar_case?case=2292869779674266896&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,33
Detroit Free Press Inc. v. US Dept. of Justice,"829 F. 3d 478 - Court of Appeals, 6th Circuit",2016,https://scholar.google.com/scholar_case?case=13009217152766075012&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,33
State v. Samalia,"375 P. 3d 1082, 186 Wash. 2d 262 - Wash: Supreme Court",2016,https://scholar.google.com/scholar_case?case=5876059376328481786&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,33
US v. Broy,"209 F. Supp. 3d 1045 - Dist. Court, CD Illinois",2016,https://scholar.google.com/scholar_case?case=12351275339476598746&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,33
Commonwealth v. Simonson,"148 A. 3d 792, 2016 PA Super 207 - Pa: Superior Court",2016,https://scholar.google.com/scholar_case?case=6719483217960027864&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,33
Microsoft Corp. v. US DEPT. OF JUSTICE,"233 F. Supp. 3d 887 - Dist. Court, WD Washington",2017,https://scholar.google.com/scholar_case?case=1756048415125473501&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,33
Zanders v. State,73 NE 3d 178 - Ind: Supreme Court,2017,https://scholar.google.com/scholar_case?case=1577833487088664776&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,33
State v. Diamond,890 NW 2d 143 - Minn: Court of Appeals,2017,https://scholar.google.com/scholar_case?case=470776784966324154&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,33
ELECTRONIC PRIVACY INFO. v. US DEPT. OF HOMELAND,"218 F. Supp. 3d 27 - Dist. Court, Dist. of Columbia",2016,https://scholar.google.com/scholar_case?case=11808237907213792683&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
US v. Stokes,"829 F. 3d 47 - Court of Appeals, 1st Circuit",2016,https://scholar.google.com/scholar_case?case=14228667683967003401&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
US v. Juszczyk,"844 F. 3d 1213 - Court of Appeals, 10th Circuit",2017,https://scholar.google.com/scholar_case?case=17420462470980628784&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
Peer News LLC v. City & County of Honolulu,"376 P. 3d 1, 138 Haw. 53 - Haw: Supreme Court",2016,https://scholar.google.com/scholar_case?case=8448575679084804003&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
US v. Thompson,"811 F. 3d 944 - Court of Appeals, 7th Circuit",2016,https://scholar.google.com/scholar_case?case=11420669159772761999&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
Commonwealth v. Shabezz,166 A. 3d 278 - Pa: Supreme Court,2017,https://scholar.google.com/scholar_case?case=3069246932032833525&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
Presley v. US,"895 F. 3d 1284 - Court of Appeals, 11th Circuit",2018,https://scholar.google.com/scholar_case?case=3741212804139004452&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
Welborn v. IRS,"218 F. Supp. 3d 64 - Dist. Court, Dist. of Columbia",2016,https://scholar.google.com/scholar_case?case=8015820279339638871&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
US v. Kolsuz,"185 F. Supp. 3d 843 - Dist. Court, ED Virginia",2016,https://scholar.google.com/scholar_case?case=317221441121401077&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
State v. Edstrom,916 NW 2d 512 - Minn: Supreme Court,2018,https://scholar.google.com/scholar_case?case=845812970597949736&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
"LaVigne v. First Community Bancshares, Inc.","215 F. Supp. 3d 1138 - Dist. Court, D. New Mexico",2016,https://scholar.google.com/scholar_case?case=14455687982025905534&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
UNDER SEAL v. Under Seal,"273 F. Supp. 3d 460 - Dist. Court, SD New York",2017,https://scholar.google.com/scholar_case?case=2183349234964094260&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
Whalen v. McMullen,"907 F. 3d 1139 - Court of Appeals, 9th Circuit",2018,https://scholar.google.com/scholar_case?case=2894421627454478938&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
State v. Peltz,"391 P. 3d 1215, 241 Ariz. 792 - Ariz: Court of Appeals, 2nd Div.",2017,https://scholar.google.com/scholar_case?case=4837992976403761263&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
"Padron v. Watchtower Bible and Tract Society of New York, Inc.","16 Cal. App. 5th 1246, 225 Cal. Rptr. 3d… - Cal: Court of Appeal, 4th…",2017,https://scholar.google.com/scholar_case?case=4575853269359908517&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
"Project Vote, Inc. v. Kemp","208 F. Supp. 3d 1320 - Dist. Court, ND Georgia",2016,https://scholar.google.com/scholar_case?case=10706369247154553019&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,32
US v. Ellis,"270 F. Supp. 3d 1134 - Dist. Court, ND California",2017,https://scholar.google.com/scholar_case?case=4522400711487556354&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,31
State v. Christensen,517 SW 3d 60 - Tenn: Supreme Court,2017,https://scholar.google.com/scholar_case?case=14033974989101235134&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,31
State v. Mann,"394 P. 3d 79, 162 Idaho 36 - Idaho: Supreme Court",2017,https://scholar.google.com/scholar_case?case=14846432232050604804&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,31
DOE BY & THROUGH DOE v. BOYERTOWN AREA SCHOOL DIST.,"276 F. Supp. 3d 324 - Dist. Court, ED Pennsylvania",2017,https://scholar.google.com/scholar_case?case=9279038466054350487&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,31
Salahuddin v. Commonwealth,"795 SE 2d 472, 67 Va. App. 190 - Va: Court of Appeals",2017,https://scholar.google.com/scholar_case?case=7259134205866901378&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,31
US v. Workman,"205 F. Supp. 3d 1256 - Dist. Court, D. Colorado",2016,https://scholar.google.com/scholar_case?case=3969706570901573860&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,31
People v. Iniguez,"202 Cal. Rptr. 3d 237 ",2016,,31
State v. Griffin,"818 SE 2d 336, 260 NC App. 629 - NC: Court of Appeals",2018,https://scholar.google.com/scholar_case?case=16319164550216017724&q=privacy&hl=en&lr=lang_en&as_sdt=2006&as_ylo=2016&as_yhi=2018,31
